1 nm,100 nm
6.363,6.085
5.742,5.769
5.314,5.743
5.513,5.66
5.942,5.535
5.733,5.538
5.574,5.65
5.54,5.764
5.419,6.03
5.415,6.497
5.475,6.01
5.534,6.53
5.539,5.703
5.536,5.707
5.445,5.627
5.451,5.499
5.443,5.525
5.43,5.666
5.378,5.895
5.489,6.077
5.692,6.377
5.351,5.755
5.612,5.695
5.735,5.665
5.471,5.647
5.391,5.6
5.554,5.687
5.575,5.978
5.587,5.6
5.336,5.972
5.419,5.633
5.509,5.483
5.283,5.504
5.566,5.422
5.223,5.438
5.086,5.584
5.245,5.911
5.692,5.253
5.601,5.304
5.469,5.276
,5.37
,5.312
,5.158
,5.328
,5.538
,5.896